#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.8000000      0.53377461      0.59904468      0.17443979       2.1091177       0.0000000       0.0000000      -23.310690      -1.5075836    
   1.8099999      0.53193212      0.59711134      0.17382166       2.1085858       0.0000000       0.0000000      -23.286125      -1.4894819    
   1.8199999      0.53010350      0.59519249      0.17320570       2.1079834       0.0000000       0.0000000      -23.261559      -1.4713805    
   1.8299999      0.52829546      0.59329402      0.17259195       2.1074667       0.0000000       0.0000000      -23.237286      -1.4535046    
   1.8399999      0.52650100      0.59121913      0.17198037       2.1068809       0.0000000       0.0000000      -23.213022      -1.4356287    
   1.8499999      0.52472645      0.58954519      0.17137094       2.1063797       0.0000000       0.0000000      -23.189034      -1.4184680    
   1.8600000      0.52296513      0.58750677      0.17076369       2.1058114       0.0000000       0.0000000      -23.165052      -1.4013076    
   1.8700000      0.52122331      0.58549041      0.17015857       2.1053252       0.0000000       0.0000000      -23.141346      -1.3847765    
   1.8800000      0.51949430      0.58386010      0.16955560       2.1047733       0.0000000       0.0000000      -23.117651      -1.3682455    
   1.8900000      0.51778430      0.58187884      0.16895477       2.1043007       0.0000000       0.0000000      -23.094221      -1.3522978    
   1.9000000      0.51608676      0.58009529      0.16835606       2.1037641       0.0000000       0.0000000      -23.070791      -1.3363500    
   1.9100000      0.51440740      0.57814908      0.16775951       2.1033061       0.0000000       0.0000000      -23.047628      -1.3206476    
   1.9200000      0.51274014      0.57639760      0.16716503       2.1027853       0.0000000       0.0000000      -23.024473      -1.3049451    
   1.9299999      0.51109058      0.57466370      0.16657269       2.1023443       0.0000000       0.0000000      -23.001568      -1.2896558    
   1.9399999      0.50945276      0.57276511      0.16598243       2.1018417       0.0000000       0.0000000      -22.978672      -1.2743664    
   1.9499999      0.50783223      0.57106185      0.16539426       2.1014173       0.0000000       0.0000000      -22.956022      -1.2596432    
   1.9599999      0.50622308      0.56937051      0.16480818       2.1009324       0.0000000       0.0000000      -22.933384      -1.2449199    
   1.9699999      0.50463086      0.56769598      0.16422418       2.1005232       0.0000000       0.0000000      -22.910988      -1.2307426    
   1.9799999      0.50304973      0.56586093      0.16364224       2.1000552       0.0000000       0.0000000      -22.888590      -1.2165654    
   1.9900000      0.50148505      0.56421548      0.16306236       2.0996614       0.0000000       0.0000000      -22.866434      -1.2026957    
   2.0000000      0.49993125      0.56258130      0.16248453       2.0992103       0.0000000       0.0000000      -22.844286      -1.1888261    
   2.0100000      0.49839336      0.56096286      0.16190876       2.0988333       0.0000000       0.0000000      -22.822369      -1.1752280    
   2.0200000      0.49686605      0.55918837      0.16133504       2.0984001       0.0000000       0.0000000      -22.800453      -1.1616299    
   2.0300000      0.49535400      0.55743134      0.16076334       2.0980401       0.0000000       0.0000000      -22.778770      -1.1485023    
   2.0400000      0.49385238      0.55585229      0.16019367       2.0976255       0.0000000       0.0000000      -22.757088      -1.1353747    
   2.0500000      0.49236554      0.55428791      0.15962601       2.0972817       0.0000000       0.0000000      -22.735626      -1.1227126    
   2.0599999      0.49088871      0.55257136      0.15906037       2.0968845       0.0000000       0.0000000      -22.714176      -1.1100504    
   2.0699999      0.48942658      0.55103308      0.15849674       2.0965567       0.0000000       0.0000000      -22.692940      -1.0977324    
   2.0799999      0.48797426      0.54950505      0.15793508       2.0961766       0.0000000       0.0000000      -22.671705      -1.0854143    
   2.0899999      0.48653620      0.54783177      0.15737544       2.0958660       0.0000000       0.0000000      -22.650682      -1.0732840    
   2.0999999      0.48510757      0.54632884      0.15681778       2.0955043       0.0000000       0.0000000      -22.629671      -1.0611539    
   2.1099999      0.48369297      0.54483968      0.15626208       2.0952113       0.0000000       0.0000000      -22.608864      -1.0494260    
   2.1199999      0.48228759      0.54320395      0.15570837       2.0948684       0.0000000       0.0000000      -22.588058      -1.0376979    
   2.1299999      0.48089573      0.54173893      0.15515660       2.0945926       0.0000000       0.0000000      -22.567461      -1.0263786    
   2.1399999      0.47951299      0.54012918      0.15460680       2.0942676       0.0000000       0.0000000      -22.546860      -1.0150592    
   2.1499999      0.47814322      0.53868753      0.15405895       2.0940080       0.0000000       0.0000000      -22.526468      -1.0040311    
   2.1599998      0.47678229      0.53725505      0.15351303       2.0937004       0.0000000       0.0000000      -22.506075     -0.99300277    
   2.1699998      0.47543404      0.53568393      0.15296906       2.0934582       0.0000000       0.0000000      -22.485880     -0.98218405    
   2.1800001      0.47409439      0.53427404      0.15242699       2.0931690       0.0000000       0.0000000      -22.465685     -0.97136539    
   2.1900001      0.47276720      0.53287643      0.15188685       2.0929444       0.0000000       0.0000000      -22.445677     -0.96089524    
   2.2000000      0.47144845      0.53133929      0.15134864       2.0926738       0.0000000       0.0000000      -22.425682     -0.95042503    
   2.2100000      0.47014192      0.52996355      0.15081233       2.0924661       0.0000000       0.0000000      -22.405865     -0.94029158    
   2.2200000      0.46884352      0.52844983      0.15027793       2.0922134       0.0000000       0.0000000      -22.386055     -0.93015820    
   2.2300000      0.46755707      0.52709538      0.14974540       2.0920227       0.0000000       0.0000000      -22.366428     -0.92019337    
   2.2400000      0.46627852      0.52574909      0.14921477       2.0917878       0.0000000       0.0000000      -22.346809     -0.91022849    
   2.2500000      0.46501172      0.52427071      0.14868604       2.0916147       0.0000000       0.0000000      -22.327362     -0.90055543    
   2.2600000      0.46375269      0.52280223      0.14815915       2.0913985       0.0000000       0.0000000      -22.307913     -0.89088243    
   2.2700000      0.46250483      0.52148855      0.14763415       2.0912426       0.0000000       0.0000000      -22.288651     -0.88152570    
   2.2800000      0.46126467      0.52004176      0.14711100       2.0910447       0.0000000       0.0000000      -22.269388     -0.87216896    
   2.2900000      0.46003538      0.51874775      0.14658970       2.0909054       0.0000000       0.0000000      -22.250292     -0.86304402    
   2.3000000      0.45881355      0.51746148      0.14607026       2.0907252       0.0000000       0.0000000      -22.231205     -0.85391927    
   2.3099999      0.45760235      0.51604724      0.14555265       2.0906034       0.0000000       0.0000000      -22.212280     -0.84496403    
   2.3199999      0.45639849      0.51464224      0.14503688       2.0904412       0.0000000       0.0000000      -22.193365     -0.83600873    
   2.3299999      0.45520499      0.51338613      0.14452292       2.0903366       0.0000000       0.0000000      -22.174614     -0.82734078    
   2.3399999      0.45401862      0.51213741      0.14401080       2.0901926       0.0000000       0.0000000      -22.155861     -0.81867278    
   2.3499999      0.45284253      0.51076353      0.14350051       2.0901048       0.0000000       0.0000000      -22.137272     -0.81024677    
   2.3599999      0.45167336      0.50939852      0.14299200       2.0899785       0.0000000       0.0000000      -22.118683     -0.80182076    
   2.3699999      0.45051417      0.50817859      0.14248529       2.0899079       0.0000000       0.0000000      -22.100246     -0.79355323    
   2.3799999      0.44936180      0.50696582      0.14198039       2.0897996       0.0000000       0.0000000      -22.081820     -0.78528571    
